Field ,Plot #,Row,Range,Ear Height 1,Flaf Leaf 1,Total Height1,Bottom internode1 ,Upper internode1,Ear Height2 ,Flaf Leaf2 ,Total Height2,Bottom internode2 ,Upper internode2,Person 
HYB-Hips ,4168,19,8,3.7,7.8,9.6,21.66,6,4,8.3,9.7,25.65,8,LL/KL
HYB-Hips ,4169,20,8,3.6,8.3,9.7,20.97,5,3.8,8.3,10.2,25.81,6,LL/KL
HYB-Hips ,4170,21,8,3.1,7.8,9.5,20.59,7,3.44,7.9,9.9,20.11,6,LL/KL
HYB-Hips ,4171,22,8,4,7.2,9,15.24,3,3.3,7.8,8.8,23.72,6,LL/KL
HYB-Hips ,4172,23,8,3,6.9,8.2,16.82,3,3,6.6,7.9,21.65,5,LL/KL
HYB-Hips ,4173,24,8,5,9.1,10.7,20.72,5,4.2,9.7,10.5,19.8,6,LL/KL
HYB-Hips ,4174,25,8,5.2,8.5,10.4,25.45,6,5.1,9.2,10.8,26.59,8,LL/KL
HYB-Hips ,4175,26,8,3.2,7.1,9.5,24.86,7,3.9,8.1,9.5,23.71,5,LL/KL
HYB-Hips ,4200,26,9,2.6,6.7,8.6,20.79,4,3,6.5,8.4,26.55,7,LL/KL
HYB-Hips ,4199,25,9,4.4,7.8,9.4,25,6,3.6,7.5,8.5,28.74,7,LL/KL
HYB-Hips ,4198,24,9,3.7,7.8,9.8,28.09,5,3.3,7.5,8.9,19.82,6,LL/KL
HYB-Hips ,4197,23,9,3.9,7.4,9.5,23.2,6,3.4,7.3,9.1,24.68,7,LL/KL
HYB-Hips ,4196,22,9,2.8,6.9,8.2,20.65,9,3.9,7.2,9.4,17.53,5,LL/KL
HYB-Hips ,4195,21,9,4.4,8.2,10.2,30.86,8,4.3,8.1,9.8,25.53,7,LL/KL
HYB-Hips ,4194,20,9,4.1,8.3,10.1,31.33,4,4.7,7.9,9.7,24.65,7,LL/KL
HYB-Hips ,4193,19,9,3,7.5,9.2,20.73,6,2.9,7.4,9.3,21.97,5,LL/KL
HYB-Hips ,4192,18,9,4.2,7.6,9.6,27.61,8,3.3,7.5,9.4,29.86,6,LL/KL
HYB-Hips ,4191,17,9,3.9,8.3,9.9,18.24,5,4.7,8.2,9.9,19.57,5,LL/KL
HYB-Hips ,4190,16,9,3.8,7.9,10.3,23.87,6,4.3,8.2,9.7,23.98,6,LL/KL
HYB-Hips ,4189,15,9,3.9,7.4,9.2,31.26,7,3.5,7,9.3,35.34,7,LL/KL
HYB-Hips ,4188,14,9,4,7.9,9.8,24.82,6,3.9,7.9,9.7,19.41,8,LL/KL
HYB-Hips ,4187,13,9,4,7.1,8.7,15.37,5,4.2,7.3,9.1,18.22,5,LL/KL
HYB-Hips ,4186,12,9,2.7,6.7,8.3,22.01,6,2.8,6.1,8.3,24.94,5,LL/KL
HYB-Hips ,4185,11,9,2.9,6.8,8.2,17.53,6,2.4,5.8,8.1,22.16,6,LL/KL
HYB-Hips ,4184,10,9,3.4,8.1,10,19.04,5,2.5,7.4,9.2,28.47,7,LL/KL
HYB-Hips ,4183,9,9,2.3,5.4,6.8,21.11,2,2.6,5.3,6.2,13.54,4,LL/KL
HYB-Hips ,4182,8,9,4.6,7.6,9,19.67,3,3.8,6.6,9,22.04,5,LL/KL
HYB-Hips ,4181,7,9,3.4,7.5,9.5,20.14,3,3.4,7.8,9.6,18.31,6,LL/KL
HYB-Hips ,4180,6,9,3.5,7.5,9,21.35,4,4.8,8.5,9.7,21.9,5,LL/KL
HYB-Hips ,4179,5,9,3.2,6.7,8.5,24.52,3,3.3,7.4,8.9,18.65,5,LL/KL
HYB-Hips ,4178,4,9,3.4,7.8,9.6,20.85,2,2.9,6.9,8.9,29.61,4,LL/KL
HYB-Hips ,4177,3,9,4.3,8.4,9.7,18.6,4,4.9,8.2,9.9,26.77,6,LL/KL
HYB-Hips ,4176,2,9,2.3,5.6,7.2,19.97,2,2.5,6,7.7,17.2,6,LL/KL
HYB-Hips ,4201,2,10,3.3,6.5,8.2,18046,3,3.1,6.8,8.4,16.92,4,LL/KL
HYB-Hips ,4202,3,10,4.5,8.8,10.6,29.42,5,5.3,8.7,10.4,27.51,7,LL/KL
HYB-Hips ,4203,4,10,5,9.2,10.7,31.13,5,5.4,8.9,10.5,28.08,7,LL/KL
HYB-Hips ,4204,5,10,2.6,7.5,9.3,20.16,3,3.8,7.8,9.4,16.68,4,LL/KL
HYB-Hips ,4205,6,10,3.9,8.3,10.1,17.64,3,3.5,8.2,9.9,23.35,6,LL/KL
HYB-Hips ,4206,7,10,3.4,7.7,9.7,24.69,3,3.8,7.8,9.4,18.78,4,LL/KL
HYB-Hips ,4207,8,10,4.9,8.1,9.9,22.55,4,4.5,7.9,9.4,25.65,9,LL/KL
HYB-Hips ,4208,9,10,3.5,7.9,9.8,24.62,4,4,8.2,9.9,26.54,7,LL/KL
HYB-Hips ,4209,10,10,4,7.3,8.6,20.53,3,3.9,7.2,8.7,20.14,5,LL/KL
HYB-Hips ,4210,11,10,4.3,7.8,9.4,20.08,6,4.3,6.9,8.8,17.34,6,LL/KL
HYB-Hips ,4211,12,10,3,7.2,8.9,18.53,6,3,7.2,8.8,21.72,6,LL/KL
HYB-Hips ,4212,13,10,3.1,7.8,9.4,20.83,4,4.3,7.8,9.4,19.94,6,LL/KL
HYB-Hips ,4213,14,10,3.7,7.3,9.2,21.13,7,3.5,6.9,8.8,25.53,8,LL/KL
HYB-Hips ,4214,15,10,3.6,7.7,9.9,27.56,8,3.7,7.9,10,23.48,8,LL/KL
HYB-Hips ,4215,16,10,3.7,7.6,9.1,18.28,4,4.3,7.6,9.3,16.3,4,LL/KL
HYB-Hips ,4216,17,10,4.5,8.9,10.1,27.09,8,5,8.8,10.6,24.13,7,LL/KL
HYB-Hips ,4217,18,10,3.3,7.2,8.8,20.28,6,2.7,6.6,8.3,21.23,5,LL/KL
HYB-Hips ,4218,19,10,4.9,8.4,10.4,22.04,6,5,8.6,10.6,23.12,5,LL/KL
HYB-Hips ,4219,20,10,4.3,8.1,9.7,23.98,6,4.5,8.1,9.1,24.6,5,LL/KL
HYB-Hips ,4220,21,10,5.1,9.4,11,26.1,8,5.6,9.5,10.9,27.9,7,LL/KL
HYB-Hips ,4221,22,10,3.1,7.2,9,21.05,5,3.3,7.3,9.1,20.71,5,LL/KL
HYB-Hips ,4222,23,10,5,8.4,10,26.17,7,4.5,8.1,9.1,20.76,6,LL/KL
HYB-Hips ,4223,24,10,5,9.5,11.2,23.16,8,4.8,8.6,10.6,21.85,7,LL/KL
HYB-Hips ,4224,25,10,5.3,8.6,10.7,24.66,5,4.5,8.6,10.5,24.6,7,LL/KL
HYB-Hips ,4225,26,10,3.2,6.7,8.3,21.3,7,3.3,7,8.4,19.66,6,LL/KL
HYB-Hips ,4250,26,11,2.7,7,8.6,22.45,6,2.7,6.8,8.4,22.2,5,LL/KL
