Person,QR Code,Ear #,Kernel Color,Ear Width,Kernel Fill Length,Kernel Row Number,Kernels per Row,Ear Weight,Kernel Count,Cob Width,Cob Length,Cob Weight,100 Kernel weight,Total Moisture
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1019$Row11$Range33$PHJ40 x LH82,3,Orange,3.5,14,16,31,125.32,504,2.5,16.5,16.52,22.49,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1019$Row11$Range33$PHJ40 x LH82,4,Orange,4,13,16,31,137.68,459,2.5,16,19.61,26.89,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1017$Row9$Range33$PHP02 x PHG47,1,Yellow,4,16,14,36,152.28,470,2.5,17,16.09,28.73,4.85
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1017$Row9$Range33$PHP02 x PHG47,2,Yellow,4,15,16,33,132.12,479,2.5,17,12.35,25.93,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1017$Row9$Range33$PHP02 x PHG47,3,Yellow,4,16,18,34,171.59,588,2.5,17.5,16.98,24.35,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1017$Row9$Range33$PHP02 x PHG47,4,Yellow,4,12,20,26,116.25,436,2.5,15,11.46,23.61,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1012$Row4$Range33$B37 x OH43,1,Yellow,3.5,13,15,24,101.69,281,2.5,14,20.15,29.52,4.92
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1012$Row4$Range33$B37 x OH43,2,Yellow,4,10.5,18,23,106.83,351,2.5,11,15.42,27.75,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1012$Row4$Range33$B37 x OH43,3,Yellow,4,14,18,31,129.72,418,2.5,14.5,17.91,27.51,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1012$Row4$Range33$B37 x OH43,4,Yellow,3.5,13,17,36,113.99,341,2,13.5,18.19,28.97,
